Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
2455(*);CL1196;Schuytgraaf-Zuid;Dynamic;5;0
617;Utrechtseweg 215 - 229;Klingelbeek;Dynamic;9,4;0
1215;Waterlelielaan 28 overzijde;Immerloo I;Dynamic;2,5;0
188;Keulse Slag 54;Presikhaaf III;Dynamic;5,2;0
1361;Dordrechtweg 14;Elderveld Noord;Dynamic;5,1;0
2148;Rijnkade 143;Weverstraat;Scheduled;10,6;0
170;Van Borselenstraat 2-56;Presikhaaf III;Dynamic;6,5;0
969;Koningskers t/h No, 54-138;Schuytgraaf-Noord;Dynamic;6,7;0
2587;Kronenburgsingel;Kronenburg;Dynamic;;1
2158;Gele Rijdersplein 3-6;Rijnstraat;Scheduled;3,7;0
2467(*);Schipbrug;;Dynamic;5;0
1770;Aagje Dekenstraat 15;Rijkerswoerd Midden;Dynamic;9,3;0
1660;Garde grenadiers 19;Klarenbeek;Dynamic;34,7;0
1443;Baakhovenstraat thv 4 zijkant;De Laar Oost;Dynamic;6,8;0
1482;Utrechtseweg thv 290;Lombok;Dynamic;12,2;0
1095;Lijsterstraat t,h,v, 18;Onder de Linden;Dynamic;7;0
461;Kluizeweg / Schelmseweg;Alteveer/Cranevelt;Dynamic;6,1;0
702;Kamillelaan t,h,v, 42;Kamillehof;Dynamic;4,3;0
879;Halsterenstraat t/h No, 143;De Laar West;Dynamic;6,4;0
771;Kleefseplein 241-455;Immerloo II;Dynamic;6;0
1135;Het Karrewiel 43;Schuytgraaf-Noord;Dynamic;5,5;0
2131;Hoogstraat 10 achterzijde;Weverstraat;Scheduled;2,5;0
1969;Kramersgildeplein 1;Winkelcentrum;Dynamic;5;0
59;Boulevard heuvelink t/o No, 24-26 (Armafa);Boulevardwijk;Dynamic;7,6;0
602;Noordelijke Parallelweg  45;Brouwerijweg e,o,;Dynamic;8,4;0
535;Monnikensteeg 1/1 - 1/23;Klarenbeek;Dynamic;5,4;0
1423;Zeelandsingel 98;De Laar Oost;Dynamic;4,7;0
1381;Wormerveerstraat thv 10;Elderveld Noord;Dynamic;5,3;0
445;Wellensteinlaan 15;Paasberg;Dynamic;7,5;0
440;Kloosterstraat 135-181;Paasberg;Dynamic;16,6;0
1192;Wikkestraat  62 overzijde;Zeegsingel e,o,;Dynamic;2,9;0
478;Tiendweg 4;Geitenkamp;Dynamic;4,5;0
2449(*);Goud thv nr 2 (kruising met Titanium);Schuytgraaf-Centrum;Dynamic;4,4;7
499;Van Speykstraat 1 - 57;Presikhaaf III;Dynamic;3,5;0
9020;J.P. Heijestraat;Onder de Linden;Scheduled;0;1
1034;Nijhoffstraat t/o 189;St, Marten;Scheduled;0;0
1032;St, Marten No, 3-5;St, Marten;Scheduled;0;0
341;Rappardstraat No, 14-16;Klarendal Zuid;Dynamic;3,4;0
1650;Roekenstraat 24;Monnikenhuizen;Dynamic;9,7;0
1454;Venlosingel 267;De Laar Oost;Dynamic;4,7;0
1527;Poggenbeekstraat 50;Sterrenberg;Dynamic;22,8;0
1550;Maria van Gelrestraat 15;Plattenburg;Dynamic;3,7;0
2110;Julianalaan thv, 14;Angerenstein;Dynamic;37,2;0
1418;Wissenkerkepad thv 13 overzijde;De Laar Oost;Dynamic;10,5;0
1987;IJssellaan 46 zijkant;Presikhaaf II;Dynamic;4;0
1768;Mr, P,J, Oudsingel 142;Rijkerswoerd Midden;Dynamic;12,3;0
9001;Nieuwe Havenweg;Arnhemse Broek;Scheduled;0;0
520;Cort van der Lindenlaan 2E;Monnikenhuizen;Dynamic;12,1;0
266;Wildenborglaan t/h No, 2-18;Over het Lange Water;Dynamic;6,5;0
104;Stadhoudersstraat 1;Arnhemse Broek;Dynamic;3,9;0
780;Orionsingel 314-368( Flat 1);Eimersweide;Dynamic;6,9;0
1828;Rijksweg-west 41;Elden;Dynamic;4;0
882;Lieshoutstraat t,h,v, 104;De Laar West;Dynamic;5,5;0
225;Weldamlaan 6;Over het Lange Water;Dynamic;7,2;0
1116;Grensweg 63;Geitenkamp;Dynamic;3;0
925;Oostburgwal 5 - 105(parkeerplaats);De Laar Oost;Dynamic;11,6;0
351;Rosendaalsestraat 160 - 166;Klarendal Zuid;Dynamic;12,8;0
558;Van Lawick van Pabststraat 39;Burgemeesterswijk;Dynamic;3,5;0
416;Wichard van Pontlaan 137;Plattenburg;Dynamic;6;0
1817;De Pas 70;Rijkerswoerd West;Dynamic;6,9;0
676;Veerpolderstraat t/h No, 48-50;Groene Weide;Dynamic;8,2;0
481;Schutterbergweg 26/Zaslaan;Geitenkamp;Dynamic;3,4;0
404;Velperweg 30 voor appartement;Molenbeke;Dynamic;78,1;0
793;Schepen van Ommerenstraat 387;Kronenburg;Dynamic;9,3;0
398;Thomas a Kempislaan 120;St, Janskerkstraat e,o,;Dynamic;9,7;0
120;B.P. van Verschuerstraat 20-22;Van Verschuerbuurt;Dynamic;5,5;0
1199;Pijlkruidstraat  34;Immerloo I;Dynamic;3,4;0
1886;Boterdijk parkeerplaats;Utrechtsestraat;Dynamic;15,6;0
484;Schuttersbergplein 62;Geitenkamp;Dynamic;5,5;0
607;Blauwgraspad 3;Malburgen West;Dynamic;7,4;0
190;Karel Doormanstraat 88;Presikhaaf III;Dynamic;5,4;0
2593;Koningsplein;Markt;Scheduled;0;1
846;Vlaardingenweg 105;Elderveld Zuid;Dynamic;5;0
99;Voetiuslaan 45;Statenkwartier;Dynamic;5,6;0
813;Kronenburgsingel t/o No, 191-215;Kronenburg;Dynamic;8,4;0
1558;Zijpendaalseweg 1;Burgemeesterswijk;Dynamic;7,4;0
1444;Hoek Boshovenpad / Venlosingel;De Laar Oost;Dynamic;5,9;0
1166;Toutenburgstraat 1A;Over het Lange Water;Dynamic;2,8;0
1596;Cattepoelseweg t,h,v, 201 in gazon;Alteveer/Cranevelt;Dynamic;21,2;0
646;Dovenetellaan 77;Malburgen West;Dynamic;8,1;0
2186;Vogelkersweg 52;Arnhemse Allee;Dynamic;8,4;0
477;Tiendweg  50 - 52;Geitenkamp;Dynamic;4,3;0
1493;Laan van  Presikhaaf  296;Presikhaaf II;Dynamic;7,3;0
581;Scheidiuslaan 24 - 38;Bakenberg;Dynamic;26,7;0
2419;St, Antonielaan 1;Graaf Ottoplein e,o,;Dynamic;10;0
1531;Tooropstraat 29;Sterrenberg;Dynamic;20,6;0
2014;Bakerwaard 29;Schuytgraaf-Zuid;Dynamic;7;0
615;Noordelijke Parallelweg 83;Heijenoord;Dynamic;14,8;0
1801;Simon Vestdijksingel naast 25;Rijkerswoerd Oost;Dynamic;5,7;0
362;Noord Peterstraat 46;Klarendal Noord;Dynamic;3;0
2041;Stratenmakersveste 42;Schuytgraaf-Zuid;Scheduled;6,4;0
1735;Elvis Preslystraat 29;Rijkerswoerd West;Dynamic;7,9;0
9009(*);Bergstraat thv nr 27;Stationsplein;Scheduled;0;1
1813;Hendrik Pieter Marchantstraat 4;Rijkerswoerd West;Dynamic;5,5;0
1691;Winschotenstraat naast 21;Vredenburg;Dynamic;3,2;0
1581;Frederik van Eedenstraat thv 58;Paasberg;Dynamic;11;0
211;Toutenbergstraat 1A;Over het Lange Water;Dynamic;4,7;0
18;Bloemstraat 54 2;Hommelstraat;Dynamic;4,7;0
609;Noordelijke Parallelweg 12;Brouwerijweg e,o,;Dynamic;8,5;0
599;St, Antonielaan 41;Graaf Ottoplein e,o,;Dynamic;13,3;0
244;Kinkelenburglaan kruising met Goudensteinlaan t/h No, 46;Over het Lange Water;Dynamic;6;0
289;Schoutenstraat 68 - 128 overzijde;Winkelcentrum;Dynamic;8,1;0
2040;Stapelwolk 7;Schuytgraaf-Zuid;Dynamic;4;0
199;Karel Doormanstraat 138;Presikhaaf III;Dynamic;7,8;0
881;Eindhovensingel 128;De Laar West;Dynamic;4,3;0
945;Mr, Samuel van Houtenhof t,h,v, 2-82;Rijkerswoerd West;Dynamic;8,6;0
262;Valkhofplein t,h,v 31;Over het Lange Water;Dynamic;8,4;0
493;Dr, A, Kuyperstraat 36;Geitenkamp;Dynamic;8,2;0
1620;Viottastraat naast garagebox 8H;Alteveer/Cranevelt;Dynamic;9,7;0
1213;Biezenlaan naast 50;Immerloo I;Dynamic;2,2;0
181;Carstenstraat 1 - 57;Presikhaaf III;Dynamic;6,5;0
1511;Joris van der Haagenlaan t,h,v, 35;Hoogkamp;Dynamic;19;0
2560(*);Gelderse Rooslaan thv nr 85 Mandelatoren;Malburgen-West;Dynamic;7;10
1930;Klingelbeekseweg 176 a;Klingelbeek;Dynamic;4,7;0
1528;Poggenbeekstraat 20;Sterrenberg;Dynamic;19;0
40;Spijkerstraat 130;Spijkerbuurt;Dynamic;3;0
2185;Herfsttooi 47 overzijde;Schuytgraaf-Zuid;Dynamic;5,5;0
689;Lepelbladstraat t,h,v, 24;Kamillehof;Dynamic;2,5;0
1037;Marten van Rossemstraat to 2;St, Marten;Scheduled;0;0
770;Kleefseplein 241-455;Immerloo II;Dynamic;3,1;0
405;Schavenmolenstraat bij No, 1;Molenbeke;Dynamic;20,9;0
141;Amerstraat 1 - 59;Presikhaaf I;Dynamic;23,2;0
858;Schipholplein 17;Elderveld Noord;Dynamic;4,5;0
844;Kortlandplaats 4 - 168;Elderveld Zuid;Dynamic;10,3;0
451;Braamweg 30;Hazegrietje;Dynamic;11,7;0
1717;Leeuwarden 2 overzijde(Frieslandsingel);Holthuizen;Dynamic;7,6;0
1753;Darwinstraat 18;Rijkerswoerd West;Dynamic;7,3;0
62;Rietgrachtstraat 7;Boulevardwijk;Dynamic;3,4;0
2303;B.P. Verschuerstraat;Van Verschuerbuurt;Dynamic;5,6;0
1716;Smallingerlandweg 36;Holthuizen;Dynamic;56,5;0
1738;Glenn Millerstraat thv 1;Rijkerswoerd West;Dynamic;5,1;0
174;Doeffstraat 98-144;Presikhaaf III;Dynamic;3,4;0
1809;John Grosmanstraat 6;Rijkerswoerd Oost;Dynamic;10,1;0
1500;Lange Wal 52 zijkant;Presikhaaf III;Dynamic;4;0
1394;Alkmaarsingel thv 200 overzijde;Elderhof;Dynamic;8,3;0
691;Kamillelaan 2;Kamillehof;Dynamic;2,4;0
192;De Houtmanstraat 32 - 74;Presikhaaf III;Dynamic;9,2;0
1860;Frans Halslaan 101;Gulden Bodem;Scheduled;12,1;0
1964;Honigkamp 84;Presikhaaf II;Scheduled;4,2;0
1567;Julianalaan 19;Angerenstein;Dynamic;12,3;0
125;Van Oldenbarneveldtstraat 30;Van Verschuerbuurt;Dynamic;2,9;0
623;Jachthoornlaan 10 - 76;Het Dorp / Mariëndaal;Dynamic;20,2;0
1742;Socratesstraat 13 overzijde;Rijkerswoerd West;Dynamic;9;0
178;Lange Wal 38 zijkant;Presikhaaf III;Dynamic;4,2;0
1564;Laan van Klarenbeek thv 28;Angerenstein;Dynamic;11,1;0
1440;Hoedekenskerkestraat 9;De Laar Oost;Dynamic;4,8;0
1820;Klapstraat 11;Elden;Dynamic;7,4;0
744;Clematarisstraat 47;Middelgraaflaan e,o,;Dynamic;8,6;0
1399;Reurikwei t,h,v, 28 overzijde;Elderhof;Dynamic;8,5;0
529;Compagnieplaats 213-243;Klarenbeek;Dynamic;13,5;0
10;Jufferstraat t/h No, 3-15;Hommelstraat;Dynamic;6,9;0
110;Johan de Wittlaan 236 - 256;Arnhemse Broek;Dynamic;6,3;0
387;Groot Vijverdal 1;Onder de Linden;Dynamic;38,3;0
9021;Bergstraat;Stationsplein;Scheduled;0;1
1373;Rotterdamsingel 103;Elderveld Zuid;Dynamic;3,7;0
1726;Martens Bongerd  28 overzijde;Rijkerswoerd West;Dynamic;7,3;0
670;Distellaan t,h,v, 36;Groene Weide;Dynamic;92,6;0
1806;Frida Heilstraat 10;Rijkerswoerd Oost;Dynamic;24,3;0
1149;lokaalspoor t,h,v, 34;Schuytgraaf-Noord;Dynamic;15,1;0
2162;Langstraat naast 52/69;Weverstraat;Dynamic;2,3;0
1667;Broekstraat 185;Arnhemse Broek;Dynamic;6,9;0
1227;Hofsingel thv, 47,;'t Duifje;Dynamic;4,3;0
636;Heermoesstraat 106;Malburgen West;Dynamic;13,2;0
2563;Eemslaan;;Scheduled;3,7;0
650;Zonnebloemstraat 2;Malburgen West;Dynamic;17,5;0
1143;Binnenvaart 25;Schuytgraaf-Noord;Dynamic;5,4;0
1421;Bruinissestraat 11 zijkant;De Laar Oost;Dynamic;7,6;0
1938;Orionsingel 53;Eimersweide;Dynamic;4,7;0
162;Krammerstraat 56;Presikhaaf II;Dynamic;6,9;0
320;Sloetstraat 46;Graaf Ottoplein e,o,;Dynamic;3,7;0
630;Nachtschade 37;Malburgen West;Dynamic;8,5;0
1452;Altweertstraat 2;De Laar Oost;Dynamic;6,7;0
348;Rosendaalsestraat 129 overzijde;Klarendal Zuid;Dynamic;5,2;0
414;Novalaan 7;Plattenburg;Dynamic;4,4;0
1994;Lacombléstraat 36 - 66 zijkant;Presikhaaf III;Dynamic;5,1;0
1702;Adorppad 1;Vredenburg;Dynamic;5,4;0
2008;Mooieweg t,h,v, 120;Rijkerswoerd West;Dynamic;57,8;0
675;Groene weide t/o No, 61-63;Groene Weide;Dynamic;4,3;0
2005;Emily Brontesingel 24;Rijkerswoerd Oost;Dynamic;6,3;0
2441;Klapbrug;Schuytgraaf-Noord;Dynamic;7,1;0
1724;Peppelenwei thv 66 overzijde;Rijkerswoerd West;Dynamic;9;0
760;Brandenburgseplein 1 - 474;Immerloo II;Dynamic;3;0
1601;Cattepoelseweg 273;Alteveer/Cranevelt;Dynamic;21,2;0
583;Alexanderstraat 58;Lombok;Dynamic;15,7;0
379;Noordpad t,h,v, 4;Klarendal Noord;Dynamic;4,7;0
1636;Magnoliaplein 3;Arnhemse Allee;Dynamic;10,5;0
916;Helmondstraat t,h,v, 47 overzijde;De Laar West;Dynamic;5,1;0
2020;Avondlicht 12;Schuytgraaf-Zuid;Dynamic;3;0
2019;De Hooivork 31;Schuytgraaf-Noord;Dynamic;6,1;0
1551;G,A, van Nispenstraat 18;Burgemeesterswijk;Dynamic;7,6;0
523;De Savornin Lohmanlaan 13;Monnikenhuizen;Dynamic;17,2;0
315;Sloetstraat 201;Graaf Ottoplein e,o,;Dynamic;5;0
2359;Grevelingen 53;Presikhaaf II;Dynamic;2,4;0
1802;Simon Vestdijksingel 51;Rijkerswoerd Oost;Dynamic;8,5;0
260;Matenalaan t,h,v, 2 overzijde;Over het Lange Water;Dynamic;13,4;0
1788;Roald Dahlpad 1;Rijkerswoerd Oost;Dynamic;4,5;0
717;Keizershof 2-240;'t Duifje;Dynamic;6,1;0
1704;Delfzijlstraat zijkant  1(Slochterenweg);Vredenburg;Dynamic;9;0
880;Mierlostraat t,h,v, 15;De Laar West;Dynamic;4;0
1502;Swartenhondtstraat 11;Presikhaaf III;Dynamic;9,8;0
304;Nijhoffstraat 133;St, Marten;Dynamic;5,8;0
1517;Joris v,d,Hagenlaan 23;Hoogkamp;Dynamic;51;0
1616;Helena Coetsstraat 21 (ad Peter van Anrooylaan);Alteveer/Cranevelt;Dynamic;19,1;0
647;Dovenetellaan 77;Malburgen West;Dynamic;8,7;0
151;Laan van Presikhaaf/ Zoomstraat;Presikhaaf I;Dynamic;15,7;0
711;Abe Lenstrahof 260;Bakenhof;Dynamic;6,8;0
1107;Dr, Schaepmanlaan 14 / A, Kuyperstraat t,h,v, 14;Geitenkamp;Dynamic;8,1;0
721;Bergse Hoofd 2-216;'t Duifje;Dynamic;3,7;0
1574;Roemer visscherstraat 61;Angerenstein;Dynamic;11,1;0
941;Theaterplein t,h,v, 1-3,;Rijkerswoerd Midden;Dynamic;6,6;0
662;Anemoonstraat 12;Malburgen West;Dynamic;10;0
754;Gelderseplein 241-455;Immerloo II;Dynamic;3,1;0
1698;Midwoldastraat 21;Vredenburg;Dynamic;5,3;0
1455;Venlosingel 315;De Laar Oost;Dynamic;11,3;0
2114;Kleine Oord 82 overzijde;Weverstraat;Scheduled;2;0
1557;Prümelaan 67;Angerenstein;Dynamic;16,2;0
21;Ir J,P,  van Muijlwijkstraat 53;Hommelstraat;Dynamic;5,3;0
1723;Martensbongerd 55 overzijde;Rijkerswoerd West;Scheduled;7,5;0
191;De Houtmanstraat 32 - 74;Presikhaaf III;Dynamic;6;0
95;Voetsiuslaan 14;Statenkwartier;Dynamic;5,6;0
590;Oranjestraat 58;Lombok;Dynamic;6,7;0
293;Hanzestraat 168;Winkelcentrum;Dynamic;3,6;0
1592;Bernard Zweerslaan 1;Alteveer/Cranevelt;Dynamic;13,6;0
640;Kamperfoeliestraat 5-7;Malburgen West;Dynamic;11;0
1396;Zandvoordstraat thv 34;Elderhof;Dynamic;7,3;0
1675;Nieuwe kade 12;Nieuwe Kadekwartier;Scheduled;0;0
873;Pettenstraat 57 zijkant;Elderveld Noord;Dynamic;11,9;0
1136;De Zeis 14;Schuytgraaf-Noord;Dynamic;6,7;0
32;Parkstraat 1a zijkant;Spijkerbuurt;Dynamic;3,5;0
1356;Hillegomweg 72;Elderveld Zuid;Dynamic;5,1;0
2580;Schuyt Bos begin;Schuytgraaf-Zuid;Dynamic;9,5;0
84;Johan de Wittlaan 137;Statenkwartier;Dynamic;5,3;0
952;Louis Armstronghof 95;Rijkerswoerd West;Dynamic;2,5;0
2180;Grijpskerkstraat 33;Vredenburg;Dynamic;5,1;0
2413;Groningensingel 51;Vredenburg;Dynamic;7,3;0
954;Spencerstraat 4;Rijkerswoerd West;Dynamic;6;0
993;Hoek Thomas J, Witteroosstraat/Van Olden Barneveldtstraat;Nieuwe Kadekwartier;Dynamic;2,5;0
2146;Roermondsplein 31;Weverstraat;Dynamic;9,4;0
1186;St, Laurentiuslaan 32;Zeegsingel e,o,;Dynamic;6,7;0
48;Parkstraat 61;Spijkerbuurt;Scheduled;5,1;0
801;Schepen van Ommerenstraat 132;Kronenburg;Dynamic;14,7;0
668;Margrietstraat t/h No, 33;Groene Weide;Dynamic;6,2;0
2039;Kersenplukkerserf 1 overzijde;Schuytgraaf-Zuid;Dynamic;8,3;0
2166;Doelenstraat achter Gele Rijders Plein 2;Rijnstraat;Scheduled;1,8;0
155;IJssellaan 61 - 83;Presikhaaf I;Dynamic;7,4;0
22;Bloemstraat 53;Hommelstraat;Dynamic;2,7;0
1916;Heijenoordseweg 2a schuin overzijde;Heijenoord;Dynamic;23,4;0
224;Twikkelstraat 12;Over het Lange Water;Dynamic;3,4;0
44;Spijkerstraat 245 1;Spijkerbuurt;Dynamic;5,3;0
2027;Mulderwaard t,h,v, 18;Schuytgraaf-Zuid;Dynamic;5,8;0
2034;Pallas Atheneplein 107;Schuytgraaf-Centrum;Dynamic;4,3;0
2242;Helenastraat 32;Schuytgraaf-Centrum;Dynamic;5,4;0
423;Ernst Casimirlaan 6 - 62;Plattenburg;Dynamic;10,5;0
64;Kastanjelaan 33;Boulevardwijk;Dynamic;4,4;0
594;Alexanderstraat t/h No, 205;Lombok;Dynamic;10,3;0
513;Roerdomplaan 1;Monnikenhuizen;Dynamic;3,6;0
1426;Arnemuidenstraat 39;De Laar Oost;Dynamic;10,5;0
967;Staatsspoor 33;Schuytgraaf-Noord;Dynamic;8,6;0
1649;Geelgorslaan 23;Monnikenhuizen;Dynamic;11,8;0
279;Kramersgildeplein 48 bij trafo;Winkelcentrum;Dynamic;3,3;0
494;Rozendaalseweg 649;Geitenkamp;Dynamic;16,5;0
43;Spijkerstraat 245 1;Spijkerbuurt;Dynamic;9,4;0
563;Jacob Marislaan t/h No, 77-79;Sterrenberg;Dynamic;8,1;0
1889;Boshovenstraat 3;De Laar Oost;Dynamic;8,5;0
2085;Veluwestraat 64;Brouwerijweg e,o,;Dynamic;13,3;0
586;Zuidelijke Parallelweg 185;Lombok;Dynamic;5,9;0
965;De Dissel 176;Schuytgraaf-Noord;Dynamic;8,7;0
2130;Hoogstraat 10 achterzijde;Weverstraat;Scheduled;1,8;0
898;Geldropstraat t,h,v, 50 overzijde gazon;De Laar West;Dynamic;6,7;0
1229;Hofsingel 88;'t Duifje;Dynamic;9,5;0
1524;Jacob Marislaan 20 overzijde;Sterrenberg;Dynamic;14,1;0
687;Grondelstraat 48A;Groene Weide;Dynamic;3,8;0
905(*);Bredasingel/ Erpstraat;De Laar-West;Scheduled;3,5;0
388;Verlengde Hoflaan 135;St, Janskerkstraat e,o,;Dynamic;6;0
1591;Cattepoelseweg 99;Alteveer/Cranevelt;Dynamic;33,3;0
1237;Jonkerwaard 19;Schuytgraaf-Zuid;Dynamic;7,6;0
1255;Hommelseweg thv 510;Sonsbeek Noord;Dynamic;11,7;0
1411;Aalsmeerhof thv 57;Elderhof;Dynamic;55,6;0
1319;Onderlangs 123;Utrechtsestraat;Scheduled;0;0
596;St, Elizabethshof 1 - 149;Lombok;Dynamic;9,6;0
1389;Aerdenhouthof t,h,v, 10;Elderveld Noord;Dynamic;5,2;0
350;Verlengde Hoflaan 49 - 53;Klarendal Zuid;Dynamic;6,7;0
727;Huissensestraat 238;Immerloo I;Dynamic;3,3;0
1232;Keizershof t,h,v, 242 zijkant;'t Duifje;Dynamic;3,9;0
2137;Ringdijk 47;Schuytgraaf-Noord;Dynamic;5;0
1825;Dokter H,J, Jagerstraat thv 5 overzijde;Elden;Dynamic;7,9;0
4;Looierstraat t/h No, 44-46;Rijnstraat;Scheduled;2,8;0
2061;Oude Velperweg 50;Plattenburg;Dynamic;9,7;0
935;Hariette Freezerstraat 36;Rijkerswoerd Midden;Dynamic;6,3;0
314;Verhuellstraat 26( St, Peterslaan);Graaf Ottoplein e,o,;Dynamic;3,5;0
783;Schepen v Monetariusstraat t,h,v, 59-97 achterzijde;Kronenburg;Dynamic;12,7;0
578;Josef Israellaan t/h No, 92;Hoogkamp;Dynamic;6,6;0
1533;De la Reijstraat 9/Steijnstraat 9;Transvaalbuurt;Dynamic;5,8;0
546;Lawick van Pabststraat  122;Burgemeesterswijk;Dynamic;9;0
1805;Mooieweg t,h,v, 156;Rijkerswoerd West;Dynamic;15,4;0
751;Gelderse Plein 1 - 239;Immerloo II;Dynamic;6,5;0
1807;Frida Heilstraat 5;Rijkerswoerd Oost;Dynamic;29,9;0
621;Jachthoornlaan 78 - 144;Het Dorp / Mariëndaal;Dynamic;13;0
1434;Valkenburgstraat t,h,v, 30-32;De Laar Oost;Dynamic;8,3;0
1301;Betuwestraat t,h,v, 6;Utrechtsestraat;Dynamic;3,6;0
1679;Eimerssingel West thv 20;Eimersweide;Dynamic;4,8;0
1484;Klingelbeekseweg 17;Klingelbeek;Dynamic;12,1;0
742;Lobeliastraat 40;Middelgraaflaan e,o,;Dynamic;6,1;0
1598;Beethovenlaan 33;Alteveer/Cranevelt;Dynamic;10,9;0
1536;Bakenbergseweg 162;Gulden Bodem;Dynamic;15,9;0
1609;Meyrooslaan 28 overzijde;Alteveer/Cranevelt;Dynamic;18,1;0
591;Oranjestraat 42;Lombok;Dynamic;7,9;0
746;Ribesstraat 47;Middelgraaflaan e,o,;Dynamic;7,2;0
322;St, Antonielaan t/h No, 276;Graaf Ottoplein e,o,;Dynamic;5;0
1512;Josef Israëlslaan 155;Hoogkamp;Dynamic;15;0
1773;Wim Sonneveldstraat 41;Rijkerswoerd Midden;Dynamic;3,6;0
1827;Meester Merkxstraat 1A overzijde;Elden;Dynamic;8,3;0
975;Scheepvaart 111;Schuytgraaf-Noord;Dynamic;5,3;0
2012;Bakerwaard t,h,v, 53 overzijde;Schuytgraaf-Zuid;Dynamic;10,2;0
2033;Pallas Atheneplein;Schuytgraaf-Centrum;Dynamic;2,9;0
540;De Wetstraat 24-26 overzijde;Transvaalbuurt;Dynamic;5;0
1495;Callunastraat 79 schuin overzijde;Heijenoord;Dynamic;13,5;0
373;Herenstraat t/h No, 38-44;Klarendal Noord;Dynamic;3,1;0
1414;Katwoudehof 90;Elderhof;Dynamic;5,5;0
1758;Annie Mankes Zernikestraat 25 overzijde;Rijkerswoerd Midden;Dynamic;6;0
1176;Stadswaardenlaan 40-42;Bakenhof;Dynamic;10,2;0
528;Fluweelboomstraat 16A;Arnhemse Allee;Dynamic;20,5;0
1799;Annie M,G, Schmidthof naast 2;Rijkerswoerd Oost;Dynamic;5,4;0
1881;Van Heemstralaan 12 overzijde;Gulden Bodem;Dynamic;22;0
1089;St, Janskerkstraat 164;St, Janskerkstraat e,o,;Dynamic;4;0
501;Van Maerlandstraat / Kloosterstraat;Geitenkamp;Dynamic;10,3;0
1657;Beukenlaan 26;Monnikenhuizen;Dynamic;6,5;0
1638;Pijnboomhof thv,1 overzijde;Arnhemse Allee;Dynamic;9,9;0
2074;Willem van Gullikstraat thv nr 24;Molenbeke;Dynamic;7,9;0
407;Velperweg 48;Molenbeke;Dynamic;4,1;0
2113;Kleine Oord 82 overzijde;Weverstraat;Scheduled;2;0
