Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
1003;Floritzstraat 2;Presikhaaf III;Dynamic;4,4;0
1606;Catherina van Rennesstraat 20;Alteveer/Cranevelt;Dynamic;9,3;0
1487;Klingelbeekseweg 60;Klingelbeek;Dynamic;9;0
1374;Alblasserdamstraat 10 zijkant;Elderveld Zuid;Dynamic;8,7;0
1664;Regiment Pontonniers 43;Klarenbeek;Dynamic;56,8;0
1814;Hendrik Pieter Marchantstraat 42;Rijkerswoerd West;Dynamic;12,4;0
773;Orionsingel 110-258 (Flat 3);Eimersweide;Dynamic;6,7;0
1894;Charley Bosveldhof 37;Bakenhof;Dynamic;9,6;0
1974;Zorgvlietstraat 1;Elsweide;Dynamic;11,1;0
1510;Breitnerstraat 96 overzijde;Hoogkamp;Dynamic;13,9;0
380;Spijkerlaan 43;Spijkerbuurt;Dynamic;2,2;0
1965;Zuilesteinlaan 34;Elsweide;Dynamic;3,9;0
65;Kastanjelaan 33;Boulevardwijk;Dynamic;7,1;0
205;Keulse Slag 140;Presikhaaf III;Dynamic;2,9;0
201;Bonte Koestraat 1;Presikhaaf III;Dynamic;5,4;0
2116;Beekstraat 40;Markt;Dynamic;4,9;0
329;Hommelseweg 205/207;Graaf Ottoplein e,o,;Dynamic;5,3;0
1959;Gildemeesterplein 2-294;Winkelcentrum;Dynamic;3,6;0
1251;Het Hout 70 overzijde,;Schuytgraaf-Zuid;Dynamic;8,2;0
1172;Fanny Blankers-Koenstraat 47;Bakenhof;Dynamic;7,8;0
87;Thorbeckestraat t,o, 34;Statenkwartier;Dynamic;9,9;0
185;Van der Goesstraat 15 overzijde;Presikhaaf III;Dynamic;6,4;0
366;Noord-peterstraat 64;Klarendal Noord;Dynamic;8;0
1607;Willem Pijperstraat  21;Alteveer/Cranevelt;Dynamic;12,7;0
2472(*);Ir. van Muijlwijkstraat;Hommelstraat;Dynamic;5,7;0
269;Kamphuizerlaan t/h No, 75-89;Over het Lange Water;Dynamic;6,4;0
1080;Vijverlaan 97;Onder de Linden;Dynamic;10,5;0
142;Roompotstraat 202/164;Presikhaaf II;Scheduled;6,6;0
394;Leeuwensteinplein 6;St, Janskerkstraat e,o,;Dynamic;9,1;0
2170;Vossenstraat thv, 111;Weverstraat;Dynamic;6,7;0
1139;De Maaidorser 101;Schuytgraaf-Noord;Dynamic;14,3;0
325;Leoninusstraat 62 - 64;Graaf Ottoplein e,o,;Dynamic;4,8;0
345;Rosendaalsestaat 53 overzijde;Klarendal Zuid;Dynamic;4,5;0
779;Orionsingel 260-312 (Flat 2);Eimersweide;Dynamic;3,8;0
521;Dr, Nolenslaan t/h No, 11-13;Monnikenhuizen;Dynamic;9,2;0
589;Oranjestraat 90;Lombok;Dynamic;6,9;0
814;Kronenburgsingel t/o No, 67;Kronenburg;Dynamic;6;0
2015;Byblisstraat 44;Schuytgraaf-Centrum;Dynamic;3,7;0
1397;Purmerendstraat t,h,v, 70;Elderhof;Dynamic;8,8;0
339;Catharijnestraat 143;Klarendal Zuid;Scheduled;6,3;0
659;Bolderikstraat 12;Malburgen West;Dynamic;6,2;0
375;Klarendalseweg / Stalstraat;Klarendal Noord;Dynamic;6,5;0
1128;Meikers thv 52;Schuytgraaf-Noord;Dynamic;8,4;0
1161;Sonsbeeksingel 144;Klarendal Zuid;Scheduled;0;0
88;Heinsiushof Parkeerplaats;Statenkwartier;Dynamic;5,1;0
1515;Mesdaglaan 8;Hoogkamp;Dynamic;5,6;0
2031(*);Pallas Atheneplein;Schuytgraaf-Centrum;Dynamic;3,6;0
9043;Stadsblokkenweg;Meinerswijk / De Praets;Scheduled;0;0
547;Burgemeester Weertsstraat 91;Burgemeesterswijk;Dynamic;3,2;0
1140;Zeevaart tegenover 269;Schuytgraaf-Noord;Dynamic;4,8;0
78;Statenlaan t/h No, 3-5;Statenkwartier;Dynamic;5,1;0
854;Kinderdijkpad thv 2 - 12;Elderveld Zuid;Dynamic;9,2;0
808;Kronenburgsingel t/o 243-307;Kronenburg;Dynamic;7,1;0
878;Wanroijhof t,h,v, 81;De Laar West;Dynamic;4,2;0
1798;Simon Vestdijksingel naast nr, 62;Rijkerswoerd Oost;Dynamic;5,1;0
2473(*);Zilver thv 117;Schuytgraaf Centrum;Dynamic;4,6;14
560;Sweerts de Landasstraat t/h No, 85;Burgemeesterswijk;Dynamic;3,2;2
1700;Ezingestraat thv 26 zijkant;Vredenburg;Dynamic;3,9;0
1336;Dovenetellaan 48;Malburgen West;Dynamic;6;0
1599;Bachlaan 44 overzijde;Alteveer/Cranevelt;Dynamic;8,5;0
986;Fruittelerserf  43/ Kersenplukkerserf;Schuytgraaf-Zuid;Dynamic;4,6;0
1569;Roemer Visscherstraat 14;Paasberg;Dynamic;21,5;0
470;Oremusplein 1 - 55;Alteveer/Cranevelt;Dynamic;8,7;0
1352;Leerdamstraat t,h,v, 10;Elderveld Zuid;Dynamic;6,9;0
526;Fluweelboomstraat 16A;Arnhemse Allee;Dynamic;14;0
1406;Purmerendstraat 2;Elderhof;Dynamic;9,3;0
1669;Heemskerckstraat 59;Arnhemse Broek;Dynamic;6,9;0
369;Agnietenstraat 185 overzijde;Klarendal Noord;Dynamic;6,1;0
534;Monnikensteeg 1/24 - 1/47;Klarenbeek;Dynamic;14;0
1706;Smallingerlandweg 1;Holthuizen;Dynamic;8,3;0
1431;Venlosingel thv, 60;De Laar Oost;Dynamic;5,9;0
2429;Juventastraat;Schuytgraaf-Centrum;Dynamic;2,9;0
1416;Medemblikhof 38;Elderhof;Dynamic;18,6;0
828;Groningensingel 653 - 753(flat Sandenburg);Vredenburg;Dynamic;4,7;0
1559;Huijghenslaan 48;Angerenstein;Dynamic;11,2;0
741;Huissensestraat 62 voor Apotheek Zorgcentrum;Middelgraaflaan e,o,;Dynamic;3,9;0
196;Lacombléstraat 1 - 35;Presikhaaf III;Dynamic;4,6;0
1925;Agnietenstraat 185 overzijde;Klarendal Noord;Dynamic;5,4;0
1784;Jules Vernehof naast 1;Rijkerswoerd Oost;Dynamic;4,4;0
466;Oude Kluizenweg;Alteveer/Cranevelt;Dynamic;7,3;0
2075;Beertastraat to, 17;Vredenburg;Dynamic;5,5;0
511;Dominicanenweg t/h No, 15-27;Monnikenhuizen;Dynamic;18,6;0
1627;Rosendaalseweg  thv, 831;Arnhemse Allee;Dynamic;13,4;0
1728;Kopstuk thv 17;Rijkerswoerd West;Dynamic;7,9;0
500;Rosendaalseweg t,h,v, 717;Geitenkamp;Dynamic;12,6;0
1800;Ida Gerhardtstraat 42 overzijde;Rijkerswoerd Oost;Dynamic;4,7;0
1602;Bachlaan t,h,v, 19;Alteveer/Cranevelt;Dynamic;11,5;0
383;J,P, Heijestraat 53 -  55;Onder de Linden;Dynamic;200;0
2037;Polluxstraat to 242;Schuytgraaf-Centrum;Dynamic;5,9;0
2127;Utrechtsestraat / Stationsplein-west;Utrechtsestraat;Scheduled;0;0
1792;Albert van Dalsumlaan 47 overzijde;Rijkerswoerd Oost;Dynamic;6,8;0
1453;Voerendaalstraat 2 zijkant(Limburgsingel);De Laar Oost;Dynamic;6,5;0
2094;Kroonpark 10;Kronenburg;Dynamic;6,3;0
600;Utrechtseweg t/h No, 170;Lombok;Dynamic;6,8;0
1117;Beukenlaan naast 78;Klarenbeek;Dynamic;6,4;0
703;Venkelstraat 29;Kamillehof;Dynamic;3,8;0
ABSN001(*);Beijerinckweg;Arnhemse Broek;Scheduled;0;0
19;Noord en Zuidstraat 37;Hommelstraat;Dynamic;8,1;0
1744;Pythagorasstraat t,h,v, 10 overzijde;Rijkerswoerd West;Dynamic;11,9;0
767;Kleefseplein 1 - 239;Immerloo II;Dynamic;6,3;0
189;Van der Goesstraat 100-130;Presikhaaf III;Dynamic;3,9;0
1541;Nicolaas Maesstraat 7 overzijde;Gulden Bodem;Dynamic;11,7;0
2111;Sweelincklaan thv, 99;Alteveer/Cranevelt;Scheduled;10,1;0
438;Kloosterstraat, 87-133;Paasberg;Dynamic;28,2;0
1661;Garde Grenadiers thv 1;Klarenbeek;Dynamic;26,4;0
1403;Koewei 1 tegenover;Elderhof;Dynamic;6;0
904;Boxmeerhof t,h,v, 2-20;De Laar West;Dynamic;17,3;0
1821;Hennepstraat 34 zijkant;Elden;Dynamic;7;0
316;Jacob Cremerstraat 53 zijkant;Graaf Ottoplein e,o,;Dynamic;7,5;0
1692;Ruigezantplantsoen 10;Vredenburg;Dynamic;6,7;0
136;Lekstraat t,h,v, 39;Presikhaaf I;Dynamic;7;0
775;Orionsingel thv 54 flat 4;Eimersweide;Dynamic;3,8;0
1171;Willy den Oudenstraat 46;Bakenhof;Dynamic;12,3;0
169;Doeffstraat 50 - 96;Presikhaaf III;Dynamic;5,2;0
1386;Haarlemweg 49 overzijde;Elderveld Noord;Dynamic;3;0
1498;Hertshoornstraat 32;Heijenoord;Dynamic;13,3;0
981;Angelsaksenveld 8;Schuytgraaf-Zuid;Dynamic;8,4;0
1767;Mr, P,J, Oudsingel 103;Rijkerswoerd Midden;Dynamic;7,5;0
2458(*);Zeelandsingel;De Laar-Oost;Dynamic;5,4;0
58;Singelstraat t/h No, 72-110;Boulevardwijk;Dynamic;5,7;0
79;Groen van Prinsterenstraat 5;Statenkwartier;Dynamic;6,2;0
1793;Albert van Dalsumlaan 103 overzijde;Rijkerswoerd Oost;Dynamic;7,2;0
2588;Kronenburgsingel;Kronenburg;Dynamic;;1
498;Dr, A, Kuyperstraat 68;Geitenkamp;Dynamic;5,4;0
1678;Van Diemenhof thv 2 zijkant;Arnhemse Broek;Dynamic;3,4;0
1547;Van Heemstralaan 1;Gulden Bodem;Dynamic;19,6;0
866;De Burcht 51;Elderveld Noord;Dynamic;9,2;0
1621;De Wolflaan 6;Alteveer/Cranevelt;Dynamic;29,3;0
9005;J.P. Heijestraat;Onder de Linden;Scheduled;0;1
267;Molecatenstraat 19;Over het Lange Water;Dynamic;3,1;0
403;Raapopseweg 66 - 68;Velperweg Noord;Dynamic;5,9;0
1628;Moslaan 3;Arnhemse Allee;Dynamic;7,9;0
845;Kortlandplaats 4 - 168;Elderveld Zuid;Dynamic;14,4;0
367;Agnietenstraat 269 zijkant;Klarendal Noord;Dynamic;9,8;0
1520;Beverweerdlaan 14;Elsweide;Dynamic;6,5;0
2107;Saksen Anhalt  2;Klarenbeek;Dynamic;22,7;0
677;Graslaan 37;Groene Weide;Dynamic;5,1;0
566;Bauerstraat t/h No, 37-39;Sterrenberg;Dynamic;15,9;0
1407;Volendamstraat 30;Elderhof;Dynamic;10;0
1746;Copernicusstraat 4;Rijkerswoerd West;Dynamic;6,7;0
1900;Klapstraat 42b zijkant;Elden;Scheduled;0;0
1733;Duke Ellingtonstraat 76;Rijkerswoerd West;Dynamic;4,1;0
1575;De Bosch Kemperstraat 19 zijkant;Statenkwartier;Dynamic;4,2;0
1712;Langweerpad 2;Holthuizen;Dynamic;7,7;0
1175;Stadswaardenlaan 32-34;Bakenhof;Scheduled;7,6;0
818;Stedumhof t/o No, 360-446;Vredenburg;Dynamic;5,7;0
970;Scheepvaart 18/ Stoomvaart;Schuytgraaf-Noord;Dynamic;3,5;0
739;Hortensiastraat 63-91;Middelgraaflaan e,o,;Dynamic;10,4;0
510;Franciscanenstraat t/h No, 10-12;Monnikenhuizen;Dynamic;75,2;0
1566;Stadhouderstraat 90 zijkant;Arnhemse Broek;Dynamic;3;0
1391;Alkmaarsingel 266;Elderhof;Dynamic;8,3;0
1195;Huissensestraat t,h,v, 148 overzijde;Immerloo I;Dynamic;3,9;0
794;Schepen v Ommerenstraat 38;Kronenburg;Dynamic;6,6;0
1387;Hilversumstraat 29 zijkant;Elderveld Noord;Dynamic;4,6;0
1932;Huissensestraat 201;Kamillehof;Dynamic;5,7;0
1771;Mr, P,J, Oudsingel 182 zijkant;Rijkerswoerd Midden;Dynamic;8,4;0
1296;Hommelseweg t,h,v, Nr 488(middenberm);Sonsbeek Noord;Dynamic;29,3;0
184;Van Kampenstraat t/h No, 100-130;Presikhaaf III;Dynamic;3,5;0
2345;Dijkkruin;Schuytgraaf-Noord;Dynamic;3,3;0
349;Klarendalseweg 155;Klarendal Zuid;Dynamic;12,8;0
614;Noordelijke Parallelweg 130;Heijenoord;Dynamic;5,8;0
286;Gamerslagplein 2 - 162;Winkelcentrum;Dynamic;6,9;0
1986;IJssellaan 2;Presikhaaf II;Dynamic;7,2;0
1659;Garde Jagers  2 zijkant;Monnikenhuizen;Dynamic;13,7;0
723;Raaihof 2 (zij-/achterkant);'t Duifje;Dynamic;3,5;0
625;De Praets oostkant onder Nelson Mandela brug;Meinerswijk / De Praets;Dynamic;7,6;0
1127;Fruithoeve 35 zijkant,;Schuytgraaf-Noord;Dynamic;10,3;0
2066;Schavenmolenstraat 35;Molenbeke;Dynamic;10,1;0
1722;De Gewanten 24 zijkant;Rijkerswoerd West;Dynamic;6,3;0
183;Van Kampenstraat 2;Presikhaaf III;Dynamic;6,9;0
2163;Langstraat naast 52/69;Weverstraat;Dynamic;5;0
1286;Lovinklaan 1;Sonsbeek Noord;Dynamic;6,2;0
2022;Het Hout thv  1;Schuytgraaf-Zuid;Dynamic;9,3;0
1230;Hofsingel 259;'t Duifje;Dynamic;4,9;0
2023;Het hout thv 22;Schuytgraaf-Zuid;Dynamic;7,9;0
732;Salvatorplein bij kerk;Middelgraaflaan e,o,;Scheduled;2,4;0
1410;Aalsmeerhof t,h,v, 75 overzijde;Elderhof;Dynamic;15,5;0
1393;Enkhuizenstraat 60 overzijde;Elderhof;Dynamic;10,9;0
601;Van Wageningenstraat 81;Brouwerijweg e,o,;Dynamic;5,8;0
1832;Gerststraat 1;Elden;Dynamic;3,4;0
2554(*);Kerkstraat/Pastoorstraat;Weverstraat;Scheduled;2,2;0
1570;Broekstraat thv 303;Arnhemse Broek;Dynamic;4,2;0
285;Hanzestraat 128;Winkelcentrum;Dynamic;5,8;0
1111;Dr, Schaepmanlaan t,h,v, 212;Monnikenhuizen;Dynamic;14,1;0
799;Kronenburgsingel t/o No, 361-389;Kronenburg;Dynamic;6,5;0
164;Volkerakstraat 54 zijkant;Presikhaaf II;Dynamic;4,3;0
2602;Meester D.U. Stikkerstraat 22-68;Elden;Scheduled;0;14
1546;Oude Velperweg thv 32;Plattenburg;Dynamic;21,3;0
1120;Schuttenbergplein t,o, 24;Geitenkamp;Dynamic;3,9;0
1622;Mendelssonlaan 8 overzijde;Alteveer/Cranevelt;Dynamic;19,1;0
1067;Van Slingelandtstraat  6a;Statenkwartier;Dynamic;6,6;0
33;1e Wijkstraat 6;Spijkerbuurt;Dynamic;3,7;0
1898;Willem Roodbeenhof 18;Elden;Dynamic;14,5;0
1605;Bernhard Zweerslaan 95;Alteveer/Cranevelt;Dynamic;13,4;0
30;Boekhorstenstraat t/h No, 58-60;Spijkerbuurt;Dynamic;4,8;0
709;Abe Lenstrahof 2;Bakenhof;Dynamic;6,6;0
817;Stedumhof t/o No, 360-446;Vredenburg;Dynamic;4,5;0
1300;Renssenstraat 8;Utrechtsestraat;Dynamic;4,2;0
428;Velperweg 141 (Insula Dei);Angerenstein;Dynamic;15,6;0
311;Apeldoornseweg t,h,v, No, 148;Graaf Ottoplein e,o,;Dynamic;10,5;0
1183;Pinksterbloemstraat 36;Zeegsingel e,o,;Dynamic;4,2;0
31;Parkstraat 1a zijkant;Spijkerbuurt;Dynamic;8;0
1521;Joris v,d, Hagenlaan 2/Bakenbergseweg;Hoogkamp;Dynamic;12;0
1457;Susterenhof to, 103;De Laar Oost;Dynamic;6,4;0
542;Sonsbeeksingel 21-25;Transvaalbuurt;Dynamic;8,2;0
1769;Belle van Zuylenstraat 4 overzijde;Rijkerswoerd Midden;Dynamic;7;0
973;Kustvaart 205;Schuytgraaf-Noord;Dynamic;78,1;0
1608;Willem Pijperstraat 6;Alteveer/Cranevelt;Dynamic;17,9;0
245;Engelenburgstraat t/h No, 2-18;Over het Lange Water;Dynamic;4;0
875;Aalburgstraat t/h No, 70-86;De Laar West;Dynamic;4,4;0
223;Hoge Waard t/h No, 9-13;Over het Lange Water;Dynamic;2,9;0
1492;Het Maisveld  22 - 60;Klingelbeek;Dynamic;24,3;0
890;Oudenboschstraat t,h,v, 25 zijkant;De Laar West;Dynamic;3,9;0
1501;Sonoystraat 27;Presikhaaf III;Dynamic;4;0
1184;Veldbloemenlaan 16 zijkant;Zeegsingel e,o,;Dynamic;4,4;0
2002;Vrij Nederlandstraat 32 overzijde;Presikhaaf I;Dynamic;3,9;0
1137;De Silo t,h,v, 18,;Schuytgraaf-Noord;Dynamic;7,7;0
76;Boulevard Heuvelink  194;Boulevardwijk;Dynamic;14,1;0
133;Amerstraat 171 - 219;Presikhaaf I;Dynamic;7,1;0
685;Huissensestraat t/h No, 135;Groene Weide;Dynamic;4,3;0
1542;Van Ruisdaelstraat 2;Gulden Bodem;Dynamic;15,1;0
1236;Brinkenhofsestraat to 44;De Overmaat;Dynamic;6,9;0
639;Dovenetellaan 219;Malburgen West;Dynamic;7;0
1366;Lissestraat 11;Elderveld Zuid;Dynamic;7,8;0
1538;Adolf van nieuwenaarlaan 18;Molenbeke;Dynamic;5,3;0
686;Forelstraat 2;Groene Weide;Dynamic;6,8;0
177;Van Nesstraat 15 overzijde;Presikhaaf III;Dynamic;5,3;0
1224;Loplein thv, 2;'t Duifje;Dynamic;6,1;0
696;Kamillelaan 34;Kamillehof;Dynamic;3,3;0
923;Terneuzenstraat;De Laar-Oost;Dynamic;4,3;0
374;Noordpad 71;Klarendal Noord;Scheduled;6,4;0
2115;Beekstraat 40;Markt;Dynamic;19,6;0
2576;Goud - thv 102-4;Schuytgraaf Centrum;Dynamic;3,4;14
258;Staverdenstraat t/h No, 2-18;Over het Lange Water;Dynamic;4;0
572;Bakenbergseweg / Amsterdamseweg;Sterrenberg;Dynamic;4,8;0
688;Snoekstraat t,h,v, 2 overzijde in gazon;Groene Weide;Dynamic;5,5;0
682;Veerpolderstraat 17/19(overzijde sloot en weg);Groene Weide;Dynamic;5,8;0
370;Kapelstraat 36 - 38;Klarendal Noord;Dynamic;5,6;0
342;Rosendaalsestraat 27 overzijde;Klarendal Zuid;Dynamic;4,7;0
842;Leimuidenplaats 120;Elderveld Zuid;Dynamic;18,7;0
209;Bontekoestraat 25;Presikhaaf III;Dynamic;4;0
1835;Tappisstraat 2 in grasveld;Elden;Dynamic;5,5;0
1096;Vijverlaan t,h,v, 140;Onder de Linden;Dynamic;7,9;0
399;Leeuwensteinplein t/o No, 15-16;Velperweg Noord;Dynamic;8,4;0
2117;Koningsplein 5;Markt;Scheduled;4,4;0
1488;Klingelbeekseweg 134 - 136 overzijde;Klingelbeek;Dynamic;10;0
1615;Boccherinistraat 12;Alteveer/Cranevelt;Dynamic;37,2;0
1613;Halévystraat t,h,v, 7;Alteveer/Cranevelt;Dynamic;16,3;0
1727;Peppelenwei 22;Rijkerswoerd West;Dynamic;7,1;0
1068;Van Slingelandtstraat 77;Statenkwartier;Dynamic;5,2;0
2054;Brederostraat 17;Paasberg;Dynamic;6,5;0
1776;Woodrow Wilsonstraat 2;Rijkerswoerd Midden;Dynamic;4;0
321;Staringstraat 85;Graaf Ottoplein e,o,;Dynamic;4,7;0
792;Schepen van Ommerenstraat 387;Kronenburg;Dynamic;6,1;0
695;Huissensestraat 235;Kamillehof;Dynamic;4,6;0
2424;Leidenweg 36;Elderveld Zuid;Dynamic;7,2;0
1167;Fokke Noordhoffstraat 2;Geitenkamp;Dynamic;5,4;0
2135;Sint Catherinaplaats 20;Markt;Scheduled;1,6;0
1372;Sassenheimstraat 27;Elderveld Zuid;Dynamic;3,4;0
2147;Roermondsplein 31;Weverstraat;Dynamic;6,6;0
722;Bergse Hoofd 2-216;'t Duifje;Dynamic;4,5;0
1433;Valkenburgstraat thv 15;De Laar Oost;Scheduled;3,6;0
725;Pijlkruidstraat 2;Immerloo I;Dynamic;3,8;0
1217(*);Watermuntstraat 49 Zijkant;Immerloo I;Dynamic;3,9;0
117;Le Mairehof 1;Arnhemse Broek;Dynamic;5,7;0
175;Van Kinsbergenstraat 1 - 57;Presikhaaf III;Dynamic;3,3;0
2097;Het Zwin 79;Presikhaaf II;Dynamic;3;0
1688;Uithuizenpad 28 achterzijde(Veendamstraat);Vredenburg;Dynamic;5,3;0
2071;Vondellaan 22;Paasberg;Dynamic;6;0
1950;Grensweg 27 overzijde;Arnhemse Allee;Dynamic;3,9;0
554;G,A,van Nispenstraat 100;Burgemeesterswijk;Dynamic;5,2;0
706;Herminiumstraat t,h,v, 1, zijkant,;Kamillehof;Dynamic;5,7;0
118;Rietgrachtstraat 115;Van Verschuerbuurt;Dynamic;5,4;0
787;Kronenburgsingel 683-799 achterzijde;Kronenburg;Dynamic;10,1;0
983;Angelsaksenveld 30;Schuytgraaf-Zuid;Dynamic;8,3;0
418;Wichard vanPontlaan 80;Plattenburg;Dynamic;4,1;0
991;Amperestraat  33;Nieuwe Kadekwartier;Dynamic;7,4;0
2028;Noordereiland 5;Schuytgraaf-Zuid;Dynamic;7,8;0
680;Huissensestraat t/h No, 109;Groene Weide;Dynamic;3,5;0
391;Sint Janskerkstraat 13;St, Janskerkstraat e,o,;Dynamic;5,3;0
1231;Ridderhof 37;'t Duifje;Dynamic;4,4;0
291;Hisveltplein 2 - 162;Winkelcentrum;Dynamic;8,7;0
309;van Hasseltstraat 16;St, Marten;Dynamic;4,4;0
1895;Dolceplein 3;Elden;Dynamic;4,7;0
419;Eleonorastraat 3 overzijde;Plattenburg;Dynamic;7,5;0
1447;Limburgsingel t,h,v 145 zijlkant;De Laar Oost;Dynamic;10,2;0
896;Millweg 52 t/m 144;De Laar West;Dynamic;3,6;0
2570;Deltawerken;Schuytgraaf-Noord;Scheduled;6,8;14
1357;Schoonhovenhof thv,5;Elderveld Zuid;Dynamic;6,6;0
1269;Orpheusstraat;Schuytgraaf-Centrum;Dynamic;3,4;0
1429;Venlosingel 6 zijkant;De Laar Oost;Dynamic;4,6;0
1919;Bremstraat 71;Heijenoord;Dynamic;22,4;0
1694;Winschotenstraat 46(overzijde);Vredenburg;Dynamic;5,1;0
253;Hamerdenstraat t,h,v, 1;Over het Lange Water;Dynamic;8;0
1075;Rappardstraat t,h,v, 74;Klarendal Zuid;Dynamic;6,5;0
1471;Borgharenpad 40;De Laar Oost;Dynamic;7,3;0
1024;Raadsheerplein 4;Winkelcentrum;Dynamic;3,9;0
469;Oremusplein 1 - 55;Alteveer/Cranevelt;Dynamic;6,3;0
1240;Pachterwaard 42;Schuytgraaf-Zuid;Dynamic;6,1;0
261;Matenalaan t,h,v, 2 overzijde;Over het Lange Water;Scheduled;6;0
491;Fazantenweg t/h No, 53-55;Geitenkamp;Dynamic;4;0
562;Van Heemstralaan 25;Gulden Bodem;Dynamic;8;0
243;St, Antonielaan 198;Graaf Ottoplein e,o,;Dynamic;10,3;0
797;Schepen ten Havenstraat 13 - 33;Kronenburg;Dynamic;8;0
850;Asperenpad 1/ Zwijndrechtstraat;Elderveld Zuid;Dynamic;7,1;0
1313;Oude Kraan 34;Utrechtsestraat;Dynamic;9,5;0
1933;Monnikskaplaan 31;Malburgen West;Dynamic;3,8;0
1810;Mr P,S, Gerbrandysingel 57;Rijkerswoerd Midden;Dynamic;6;0
504;Monnikensteeg 80 - 138;Monnikenhuizen;Dynamic;6,1;0
1486;Berkelstraat 17;Presikhaaf I;Dynamic;9,2;0
ABSZ001(*);De Overmaat;De Overmaat;Scheduled;0;0
1182;Dotterlaan 28;Zeegsingel e,o,;Dynamic;8;0
1071;Hugo de Grootstraat t,h,v, 19;Statenkwartier;Dynamic;3,6;0
139;Amerstraat 1 - 59;Presikhaaf I;Dynamic;8,2;0
1695;Onstweddestraat 36 overzijde;Vredenburg;Dynamic;4,3;0
635;Heermoesstraat 106 - 178;Malburgen West;Dynamic;6,5;0
427;Bernhardlaan / v, Lippe Biesterveldstraat;Angerenstein;Dynamic;6,1;0
823;Groningensingel 1111 - 1165;Vredenburg;Dynamic;10,1;0
73;Boulevard Heuvelink 124;Boulevardwijk;Dynamic;9,6;0
1539;Van Heemstralaan 61;Gulden Bodem;Dynamic;6,7;0
331;Bouwmeesterstraat 1;Graaf Ottoplein e,o,;Dynamic;4,8;0
1617;Ockeghemlaan 15;Alteveer/Cranevelt;Dynamic;29,9;0
956;Pascalstraat 11;Rijkerswoerd West;Scheduled;5,6;0
2055;Bronbeeklaan/Frederik van Eedenstraat;Paasberg;Dynamic;12,2;0
1868;Jacob Marislaan t,h,v, 92;Hoogkamp;Dynamic;18,8;0
56;C,A, Thiemestraat 53;Spijkerbuurt;Dynamic;7;0
1012;Ulvenhoutstraat 19 zijkant;De Laar West;Dynamic;4,9;0
1904;Schiedamhof 6 zijkant;Elderveld Zuid;Dynamic;22,7;0
1779;Mr, P,S, Gerbrandysingel 15;Rijkerswoerd Midden;Scheduled;3,8;0
